No.,Time,Source,Destination,Protocol,Length,Info,SourcePort,DestinationPort
30385,253.492502,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30386,253.493087,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30387,253.493265,192.168.1.41,117.219.237.13,QUIC,76,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30388,253.493687,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30389,253.493804,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30390,253.494999,192.168.1.41,117.219.237.13,QUIC,77,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30391,253.495124,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30392,253.495602,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30393,253.497006,192.168.1.41,117.219.237.13,QUIC,77,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30394,253.498772,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30395,253.498772,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30396,253.499854,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30397,253.500094,192.168.1.41,117.219.237.13,QUIC,76,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30398,253.500479,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30399,253.501039,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30400,253.501133,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30401,253.502113,192.168.1.41,117.219.237.13,QUIC,77,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30402,253.502711,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30403,253.503614,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30404,253.503768,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30405,253.503981,192.168.1.41,117.219.237.13,QUIC,76,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30406,253.509723,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30407,253.509723,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30408,253.509723,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30409,253.509723,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30410,253.509723,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30411,253.510323,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30412,253.511191,192.168.1.41,117.219.237.13,QUIC,77,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30413,253.513465,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30414,253.513465,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30415,253.514544,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30416,253.514725,192.168.1.41,117.219.237.13,QUIC,76,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30417,253.515195,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30418,253.515734,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30419,253.515839,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30420,253.516574,192.168.1.41,117.219.237.13,QUIC,77,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30421,253.51705,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30422,253.517638,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30423,253.518193,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30424,253.518362,192.168.1.41,117.219.237.13,QUIC,81,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30425,253.519061,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30426,253.520424,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30427,253.520575,192.168.1.41,117.219.237.13,QUIC,77,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30428,253.520608,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30429,253.522657,192.168.1.41,117.219.237.13,QUIC,77,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30430,253.524503,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30431,253.524503,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30432,253.525108,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30433,253.526195,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30434,253.526383,192.168.1.41,117.219.237.13,QUIC,76,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30435,253.526762,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30436,253.526933,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30437,253.528677,192.168.1.41,117.219.237.13,QUIC,77,"Protected Payload (KP0), DCID=38a5b80915290a93",61402,443
30438,253.531823,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
30439,253.532377,117.219.237.13,192.168.1.41,QUIC,1392,Protected Payload (KP0),443,61402
